raw_facet,normalized_facet,category,conversation_observable,sensitivity,scoring_definition,abstention_reason
Compassion Fatigue,Compassion Fatigue,Personality/Cognitive,True,Low,"Measures the degree of 'Compassion Fatigue' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Moroseness,Moroseness,Personality/Cognitive,True,Low,"Measures the degree of 'Moroseness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Specialist,Specialist,Personality/Cognitive,True,Low,"Measures the degree of 'Specialist' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Aloofness,Aloofness,Personality/Cognitive,True,Low,"Measures the degree of 'Aloofness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Genuine,Genuine,Personality/Cognitive,True,Low,"Measures the degree of 'Genuine' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Determinedness,Determinedness,Personality/Cognitive,True,Low,"Measures the degree of 'Determinedness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
HonestyHumility:,HonestyHumility,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Relationship Building Themes:,Relationship Building Themes,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Pure Challenge,Pure Challenge,Personality/Cognitive,True,Low,"Measures the degree of 'Pure Challenge' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Numerical Reasoning Subcomponents:,Numerical Reasoning Subcomponents,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Openness,Openness,Personality/Cognitive,True,Low,"Measures the degree of 'Openness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
SelfEsteem,SelfEsteem,Personality/Cognitive,True,Low,"Measures the degree of 'SelfEsteem' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Comparing alphanumeric data,Comparing alphanumeric data,Personality/Cognitive,True,Low,"Measures the degree of 'Comparing alphanumeric data' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Big-heartedness,Big-heartedness,Personality/Cognitive,True,Low,"Measures the degree of 'Big-heartedness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Compulsive activities,Compulsive activities,Personality/Cognitive,True,Low,"Measures the degree of 'Compulsive activities' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Disrespect,Disrespect,Personality/Cognitive,True,Low,"Measures the degree of 'Disrespect' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
FSH level,FSH level,Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
Self Perspective,Self Perspective,Personality/Cognitive,True,Low,"Measures the degree of 'Self Perspective' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Desperation,Desperation,Personality/Cognitive,True,Low,"Measures the degree of 'Desperation' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Affiliation Motivation:,Affiliation Motivation,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Anatomy knowledge,Anatomy knowledge,Personality/Cognitive,True,Low,"Measures the degree of 'Anatomy knowledge' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Passive-Aggressive,Passive-Aggressive,Personality/Cognitive,True,Low,"Measures the degree of 'Passive-Aggressive' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Presence of Spiritual Pain,Presence of Spiritual Pain,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Role of Spirituality in Community Involvement,Role of Spirituality in Community Involvement,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Structure,Structure,Personality/Cognitive,True,Low,"Measures the degree of 'Structure' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Eco-tourism trips,Eco-tourism trips,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Chivalrousness,Chivalrousness,Personality/Cognitive,True,Low,"Measures the degree of 'Chivalrousness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Pilgrimage participation count,Pilgrimage participation count,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Mindfulness facet: Observing,Mindfulness facet: Observing,Personality/Cognitive,True,Low,"Measures the degree of 'Mindfulness facet: Observing' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Submissiveness,Submissiveness,Personality/Cognitive,True,Low,"Measures the degree of 'Submissiveness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Training-cycle length,Training-cycle length,Personality/Cognitive,True,Low,"Measures the degree of 'Training-cycle length' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Sensitiveness,Sensitiveness,Personality/Cognitive,True,Low,"Measures the degree of 'Sensitiveness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Negative Affect Frequency,Negative Affect Frequency,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Innovation and Creativity Components:,Innovation and Creativity Components,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Achievement Motivation:,Achievement Motivation,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Feedback-giving frequency,Feedback-giving frequency,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Dance-cardio sessions,Dance-cardio sessions,Personality/Cognitive,True,Low,"Measures the degree of 'Dance-cardio sessions' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Enthusiasm,Enthusiasm,Personality/Cognitive,True,Low,"Measures the degree of 'Enthusiasm' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Psychological construct: Social Desirability tendency,Psychological construct: Social Desirability tendency,Personality/Cognitive,True,Low,"Measures the degree of 'Psychological construct: Social Desirability tendency' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Inattentiveness,Inattentiveness,Personality/Cognitive,True,Low,"Measures the degree of 'Inattentiveness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Unassertiveness,Unassertiveness,Personality/Cognitive,True,Low,"Measures the degree of 'Unassertiveness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Decision-making decisiveness,Decision-making decisiveness,Personality/Cognitive,True,Low,"Measures the degree of 'Decision-making decisiveness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Sense-of-coherence score,Sense-of-coherence score,Personality/Cognitive,True,Low,"Measures the degree of 'Sense-of-coherence score' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Justice-mindedness,Justice-mindedness,Personality/Cognitive,True,Low,"Measures the degree of 'Justice-mindedness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Subscription count,Subscription count,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Depression Symptoms,Depression Symptoms,Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
Spatial perception,Spatial perception,Personality/Cognitive,True,Low,"Measures the degree of 'Spatial perception' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Brevity,Brevity,Personality/Cognitive,True,Low,Scores from 1 (very brief/quiet) to 5 (extremely talkative/elaborative) based on sentence length and text volume.,
Orderliness,Orderliness,Personality/Cognitive,True,Low,"Measures the degree of 'Orderliness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Multiculturalism,Multiculturalism,Personality/Cognitive,True,Low,"Measures the degree of 'Multiculturalism' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Creative risk-taking tendency,Creative risk-taking tendency,Personality/Cognitive,True,Low,"Measures the degree of 'Creative risk-taking tendency' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Inefficiency,Inefficiency,Personality/Cognitive,True,Low,"Measures the degree of 'Inefficiency' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Network basics,Network basics,Personality/Cognitive,True,Low,"Measures the degree of 'Network basics' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Alphabetical filing skills,Alphabetical filing skills,Personality/Cognitive,True,Low,"Measures the degree of 'Alphabetical filing skills' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Work Styles,Work Styles,Personality/Cognitive,True,Low,"Measures the degree of 'Work Styles' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Character strength: Perseverance,Character strength: Perseverance,Personality/Cognitive,True,Low,"Measures the degree of 'Character strength: Perseverance' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Competition,Competition,Personality/Cognitive,True,Low,"Measures the degree of 'Competition' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Logical Sequence Identification,Logical Sequence Identification,Personality/Cognitive,True,Low,"Measures the degree of 'Logical Sequence Identification' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Sustainable-transport usage,Sustainable-transport usage,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Hardworking,Hardworking,Personality/Cognitive,True,Low,"Measures the degree of 'Hardworking' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Emotional-intelligence measure: Impulsiveness,Emotional-intelligence measure: Impulsiveness,Personality/Cognitive,True,Low,"Measures the degree of 'Emotional-intelligence measure: Impulsiveness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Dishonesty,Dishonesty,Personality/Cognitive,True,Low,"Measures the degree of 'Dishonesty' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Preferred epistemology,Preferred epistemology,Personality/Cognitive,True,Low,"Measures the degree of 'Preferred epistemology' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Memory for Sounds,Memory for Sounds,Personality/Cognitive,True,Low,"Measures the degree of 'Memory for Sounds' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Sportsmanship rating,Sportsmanship rating,Personality/Cognitive,True,Low,"Measures the degree of 'Sportsmanship rating' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Immaturity,Immaturity,Personality/Cognitive,True,Low,"Measures the degree of 'Immaturity' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Health-literacy level,Health-literacy level,Personality/Cognitive,True,Low,"Measures the degree of 'Health-literacy level' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Estimating Calculations,Estimating Calculations,Personality/Cognitive,True,Low,"Measures the degree of 'Estimating Calculations' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Depression: Feelings of sadness and hopelessness,Depression: Feelings of sadness and hopelessness,Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
Synthesis of information,Synthesis of information,Personality/Cognitive,True,Low,"Measures the degree of 'Synthesis of information' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Leadership Potential:,Leadership Potential,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Ethical standards,Ethical standards,Personality/Cognitive,True,Low,"Measures the degree of 'Ethical standards' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
High-spiritedness,High-spiritedness,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Critical reasoning,Critical reasoning,Personality/Cognitive,True,Low,"Measures the degree of 'Critical reasoning' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Sleep-disorder diagnosis,Sleep-disorder diagnosis,Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
Listening Skills Subcomponents:,Listening Skills Subcomponents,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Collaboration,Collaboration,Personality/Cognitive,True,Low,"Measures the degree of 'Collaboration' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Precision of Movements,Precision of Movements,Personality/Cognitive,True,Low,"Measures the degree of 'Precision of Movements' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Social Boldness,Social Boldness,Personality/Cognitive,True,Low,"Measures the degree of 'Social Boldness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Auditory memory,Auditory memory,Personality/Cognitive,True,Low,"Measures the degree of 'Auditory memory' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Psychomotor Ability Subcomponents:,Psychomotor Ability Subcomponents,Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Organized lifestyle,Organized lifestyle,Personality/Cognitive,True,Low,"Measures the degree of 'Organized lifestyle' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Skill-endorsements count,Skill-endorsements count,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Mysteriousness,Mysteriousness,Personality/Cognitive,True,Low,"Measures the degree of 'Mysteriousness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Cultural Identity,Cultural Identity,Personality/Cognitive,True,Low,"Measures the degree of 'Cultural Identity' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Intrinsic Motivation,Intrinsic Motivation,Personality/Cognitive,True,Low,"Measures the degree of 'Intrinsic Motivation' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Impartial-mindedness,Impartial-mindedness,Personality/Cognitive,True,Low,"Measures the degree of 'Impartial-mindedness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Burnout Symptoms,Burnout Symptoms,Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
Holiness,Holiness,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Selfcontrol,Selfcontrol,Personality/Cognitive,True,Low,"Measures the degree of 'Selfcontrol' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
SelfDirectedness,SelfDirectedness,Personality/Cognitive,True,Low,"Measures the degree of 'SelfDirectedness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Encouraging participation,Encouraging participation,Personality/Cognitive,True,Low,"Measures the degree of 'Encouraging participation' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Impracticalness,Impracticalness,Personality/Cognitive,True,Low,"Measures the degree of 'Impracticalness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Meeting Deadlines,Meeting Deadlines,Personality/Cognitive,True,Low,"Measures the degree of 'Meeting Deadlines' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Data Analysis,Data Analysis,Personality/Cognitive,True,Low,"Measures the degree of 'Data Analysis' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Social Interaction Skills,Social Interaction Skills,Personality/Cognitive,True,Low,"Measures the degree of 'Social Interaction Skills' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Psychoticism,Psychoticism,Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
Ethical leadership rating,Ethical leadership rating,Personality/Cognitive,True,Low,"Measures the degree of 'Ethical leadership rating' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Slothfulness,Slothfulness,Personality/Cognitive,True,Low,"Measures the degree of 'Slothfulness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Happiness,Happiness,Personality/Cognitive,True,Low,"Measures the degree of 'Happiness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Contentment Levels,Contentment Levels,Personality/Cognitive,True,Low,"Measures the degree of 'Contentment Levels' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Neuroticism,Neuroticism,Personality/Cognitive,True,Low,"Measures the degree of 'Neuroticism' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Desire for excellence,Desire for excellence,Personality/Cognitive,True,Low,"Measures the degree of 'Desire for excellence' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Perceiving,Perceiving,Personality/Cognitive,True,Low,"Measures the degree of 'Perceiving' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Liberalism,Liberalism,Personality/Cognitive,True,Low,"Measures the degree of 'Liberalism' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Inversion comfort level,Inversion comfort level,Personality/Cognitive,True,Low,"Measures the degree of 'Inversion comfort level' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Affection,Affection,Personality/Cognitive,True,Low,"Measures the degree of 'Affection' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Numeric Filing Skills,Numeric Filing Skills,Personality/Cognitive,True,Low,"Measures the degree of 'Numeric Filing Skills' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Martyrdom,Martyrdom,Personality/Cognitive,True,Low,"Measures the degree of 'Martyrdom' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Parathyroid-hormone level,Parathyroid-hormone level,Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
Seeking approval,Seeking approval,Personality/Cognitive,True,Low,"Measures the degree of 'Seeking approval' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Judging (J):,Judging (J),Malformed/Header,False,Low,N/A - Non-observable in conversation.,"Header or structural category marker, not a concrete facet."
Big Five facet Openness – Artistic Interests,Big Five facet Openness – Artistic Interests,Personality/Cognitive,True,Low,"Measures the degree of 'Big Five facet Openness – Artistic Interests' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Psychological construct: Operant-Learning rate,Psychological construct: Operant-Learning rate,Biographical/External,False,Medium,N/A - Non-observable in conversation.,"Requires access to objective external records, biographical history, or quantitative tracking outside the conversation."
Psychological construct: Need for Achievement level,Psychological construct: Need for Achievement level,Personality/Cognitive,True,Low,"Measures the degree of 'Psychological construct: Need for Achievement level' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Cantankerousness,Cantankerousness,Personality/Cognitive,True,Low,"Measures the degree of 'Cantankerousness' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Material properties knowledge,Material properties knowledge,Personality/Cognitive,True,Low,"Measures the degree of 'Material properties knowledge' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Hostility,Hostility,Personality/Cognitive,True,Low,"Scores from 1 (exceptionally polite/calm) to 5 (highly argumentative, hostile, or angry tone).",
Independence,Independence,Personality/Cognitive,True,Low,"Measures the degree of 'Independence' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
800. Sufi practice: Sufi retreat attendance count,Sufi practice: Sufi retreat attendance count,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Chromatin-accessibility score,Chromatin-accessibility score,Medical/Physiological,False,High,N/A - Non-observable in conversation.,"Requires physiological testing, laboratory analysis, or clinical diagnostic tools not available in conversation."
644. Spiritual virtue: Humility practice index,Spiritual virtue: Humility practice index,Spiritual/Cultural,True,Medium,"Measures the degree of 'Spiritual virtue: Humility practice index' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
754. I Ching hexagram 36 resonance level,I Ching hexagram 36 resonance level,Spiritual/Cultural,False,Medium,N/A - Non-observable in conversation.,Spiritual metrics and practice counts require biographical history or external logs.
Well-being component: Engagement,Well-being component: Engagement,Personality/Cognitive,True,Low,"Measures the degree of 'Well-being component: Engagement' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Need for social interaction,Need for social interaction,Personality/Cognitive,True,Low,"Measures the degree of 'Need for social interaction' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
Peer-collaboration hours,Peer-collaboration hours,Personality/Cognitive,True,Low,"Measures the degree of 'Peer-collaboration hours' expressed in the conversational style, word choice, or self-reported statements. Scale: 1 (Very Low/Absent) to 5 (Very High/Dominant).",
